Character,Chinese Subtitle,English Translation
Maitreya (Yellowbrow),它还记得你的味道,It still recalls your scent.
Maitreya (Yellowbrow),那猴儿活着的时候，只知四处求人，哭哭啼啼,"When that monkey was alive, he was all about weeping and begging for help."
Maitreya (Yellowbrow),死了还祸及子孙， 引得你们一个个送上门来,"Now, even in death, he led all you younglings right to me."
Maitreya (Yellowbrow),我这搭包儿，都快装不下了,This sack of mine can barely fit you all!
Maitreya (Yellowbrow),亢金龙，你法性已通,"Kang-Jin Loong, now that you are ready,"
Maitreya (Yellowbrow),出来帮为师试试他的成色,go and weigh up this one for your master.
Maitreya (Yellowbrow),看看这只猴子，是否够格做我的弟子,See if this monkey merits a place amongst my disciples.
Maitreya (Yellowbrow),入了此番轮回，就别想再轻易涅槃,"You have chosen your way. This time, there will be no easy way out!"
Yellowbrow,很久以前，我与金蝉子还是同门,"Ages ago, Jinchanzi and I were peers."
Yellowbrow,他是个认真的人,"Ever questing with good will, he was."
Yellowbrow,看不得灵山从来祥光瑞霭，山下却遭着苦困天灾,His nature made him question the supremacy of us beyond mortal woe and grief.
Yellowbrow,他说，凡诸众生，皆有慧根,He deemed all souls could be akin to us.
Yellowbrow,何以只有你我高高在上，其他人就只配磕头烧香,"""Why then do we tower, whilst others merely kneel and offer?"" He asked."
Yellowbrow,我说，因为他们不如你我,"I told him, the others are less than us."
Yellowbrow,后来，他犯了大错，重入轮回,His misstep cast him back into the endless cycle.
Yellowbrow,又收了几个徒弟,"Reborn, he drew three disciples."
Yellowbrow,可结果如何？,But what did they change?
Yellowbrow,徒弟死的死，逃的逃，连他自己也躲了起来,"One ended up a corpse, others fugitives. He too took to the shadows."
Yellowbrow,要我说，这些去取经的，都是废物,Pathetic. Those journeyers have misplaced their worship.
Yellowbrow,信甚么狗屁如来，不如我自己来,"Why bet on the Sutra, when one oneself can be a Buddha?"
Yellowbrow,既见未来，为何不拜？,Kneel before the Buddha of the Future!
Yellowbrow,顽固不化！,Obstinate fool!
Yellowbrow,本座这搭包正是为迷途之人准备,My sack awaits misguided souls like you.
Yellowbrow,你且进去悟上一悟！,Enter within and find enlightenment!
Zhu Bajie,你这夯货，也被那老贼抓到了？,Idiot! That trickster caught you too?
Zhu Bajie,这搭包儿比以前邪门多了，竟养出了此等利害妖物,"This wicked sack is much more vicious than before, nurturing such evilness!"
Zhu Bajie,估摸老贼借了大师兄的道行，把这破袋子又缝补了一番,Yellowbrow must have woven Wukong's strength into it. That bastard!
Zhu Bajie,一起上，先杀出去再说！,"Join me, let's fight our way out!"
Yellowbrow,还记得盂兰会上，世尊说过,I remember what the Buddha said at the Ullambana.
Yellowbrow,众生之苦，多因不守戒律，放情纵欲,"""All beings suffer as they heed not the precepts and indulge."""
Yellowbrow,要我说，放屁,I say: nonsense!
Yellowbrow,不杀生，仇恨永无止息,"Thou shalt kill, lest feuds instill."
Yellowbrow,不偷盗，强弱如我何异,"Thou shalt snatch, a fair play in a fair match."
Yellowbrow,不邪淫，一切有情皆孽,"Thou shalt lust, before all loves turn into dust."
Yellowbrow,不妄语，梦幻泡影空虚,"Thou shalt boast, for prestige and legacy it doth host."
Yellowbrow,不馋酒，忧怖涨落无常,"Thou shalt drink, and drenched unease shall sink."
Yellowbrow,不耽乐，芳华刹那而已,"Thou shalt revel, prime year shan't be spent to settle."
Yellowbrow,不贪眠，苦苦不得解脱,"Thou shalt dream, to reach in bleak void the sole gleam."
Yellowbrow,不纵欲，诸行了无生趣,"Thou shalt indulge, or life is but a scourge!"
Yellowbrow,万法皆空，唯因果不空,"All dharma is emptiness, but karma alone is not."
Yellowbrow,杀罢，杀罢！,Kill it! Do it!
Yellowbrow,对，就是这样，这才是你,"Yes, just like that, that's who you are!"
Zhu Bajie,小侄子，撑住！莫丢了神智！,"Keep your wits, boy! Don't get swayed!"
Yellowbrow,来，我让你杀得更畅快些！,"Here, let me quench your thirst for blood!"
Yellowbrow,诸行无常，诸相迷障,All conditioned things are impermanent and lead astray.
Yellowbrow,拿起屠刀，魔亦成佛！,"Be a butcher, then be a Buddha!"
Yellowbrow,以彼之身，施彼之道,"To retaliate in kind, you must be of that kind."
Yellowbrow,因果循环，报应不爽,"Now, you have introduced your karma in this cycle."
Yellowbrow,佛者，觉也,Buddhahood. Enlightenment.
Yellowbrow,你有觉心，定能成佛,Such enlightenment surely would grant you Buddhahood!
Yellowbrow,我有弟子三千，信众无数,"Three thousand heed my words, countless more revere my name."
Yellowbrow,皆为你准备，任你杀戮,They are all yours to have your fill of carnage.
Yellowbrow,六道众生谁无杀心？,"In the Six Paths, all souls harbor the urge to kill!"
Yellowbrow,何况天也杀人，地也杀人！,Even the sky and earth take lives!
Yellowbrow,你恶业深重，从一地狱历一地狱,Misdeeds heap upon your head as you find no escape in your suffering.
Yellowbrow,最后的涅槃便由我来助你罢,An ultimate nirvana I shall grant you gladly.
Yellowbrow,我……我早就看穿了你的下场,I saw how this would end for you long ago.
Yellowbrow,只要你还在为他人而战，迟早，也会死在他人手上,"Keep fighting for others, and in time, you shall fall by their hands."
Yellowbrow,我黄眉，只为自己,"I, Yellowbrow, fight solely for myself."
Yellowbrow,我没输……,I haven't lost...
Yellowbrow,我不会输……,I will not lose!
Yellowbrow,只要，只要再用一次那猴子的宝贝……,If only... I could wield that monkey's relic just once more...
Maitreya,这孽畜早先拐了我的宝贝下界,This rogue stole my Seedsack and fled here.
Maitreya,又借大圣之力，把我那后天袋儿变成了销魂夺魄的邪宝,"With Wukong's relic, he made it a soul-snatching vessel."
Maitreya,还化作我模样，假我之名诓来了许多旧仇，一心逞能报复,He also took my look and my name to trick his old foes into vengeance...
Zhu Bajie,大肚皮，我早该猜到是你！,You potbelly! I should've figured out it was you!
Maitreya,恕罪恕罪,Forgive my little deception.
Zhu Bajie,拐你一次，我信,Stolen once? I buy it.
Zhu Bajie,拐你两次，猪都不信！,Stolen twice? I doubt it!
Maitreya,我也不信，谁知这孽畜胆子这么大,Your doubt is fair. I shouldn't have underestimated his nerve.
Maitreya,我本要亲自收他，不料两位施主先到,"I meant to subdue him myself, but you two were swifter."
Maitreya,悟能你自是福大命大，而他年纪轻轻竟如此了得,"Fortune favors you, Bajie. But I see great potential in this young one"
Maitreya,这回或许……没看错人,He might just be... the right monkey.
Zhu Bajie,莫讲这些不帮衬的话,Enough of this empty talk.
Zhu Bajie,你那黄眉小儿失足淹死事小,I don't care if Yellowbrow drowns in the lake.
Zhu Bajie,大师兄的东西若是丢了，再找寻起来就难了,We can't have Wukong's relic sink with him!
Maitreya,你那九齿钉钯，且借我用用,"For that. Pray, lend me that rake of yours."
Jinchanzi,师兄此番下界，倒是去了好久,"You tarried in the mortal world for a good while, didn't you?"
Jinchanzi,说人话,Speak clearly.
Yellowbrow,这一回，我又赢了，金蝉子,"Once again, I proved it to you, Jinchanzi."
Jinchanzi,祸乱人心，倒果为因,"You chose a means to an end, not to a proof."
Jinchanzi,师兄如此执着输赢，可笑，可悲,You sow chaos in hearts just for the sake of winning. How absurd and pathetic.
Yellowbrow,若不能赢，还证什么因果人心,"Heh, if not for winning, why debate over means and ends?"
Non-Able,杀无赦,Kill without mercy!
Zhu Bajie,这断是个庙宇庵院，不打紧，进去瞧瞧,"It is a temple, no doubt. It won't hurt to peek inside."
Zhu Bajie,冰天雪地的，老猪孔儿都要冻住了!,The frost is biting hard. Even my rump is frozen solid!
Yin Tiger,闲话少题，我没兴趣,"Spare me your prattle, it bores me."
Yin Tiger,既然来了，我便帮你把那身破铜烂铁换换,"Since you're here, the scrap you're hauling can stay no more."
Yin Tiger,刀打好了，手痒得很，正愁没人来试,"Edge sharpened, arm restless. I was looking for someone to test it."
Yin Tiger,话说前头，我这刀铜浇铁铸,"Mark me, this blade is cast from the best metal."
Yin Tiger,擦着碰着，概不负责,Don't blame me if you hurt yourself.
Yin Tiger,废铁一块，不称我的武艺！,This scrap is unfit for my skill!
Yin Tiger,送你了！,It's yours now!
Yin Tiger,我再打一把就是,I'll just forge another.
Yin Tiger,一身破烂，难怪登门,What rags and tatters. No wonder you're at my door.
Yin Tiger,这才像个模样，不送！,Now you seem a proper sort. Be on your way!
Zhu Bajie,后生小辈，你可知那黄眉的来历？,"Young one, did you ever hear the story of Yellowbrow?"
Zhu Bajie,他原是东来佛祖弥勒面前司磬的一个童儿,"He used to be a measly altar boy to Maitreya in the East,"
Zhu Bajie,偷了弥勒宝贝，下界成精,stole his master's vessel to gain great power in the mortal realm.
Zhu Bajie,我们取经时路过小西天，黄眉假设小雷音,"When we journeyed to the New West and his New Thunderclap Temple,"
Zhu Bajie,师傅不知好歹，进门便拜，中了算计,our masterstrolled in and knelt —right into a trap.
Zhu Bajie,那黄眉老怪想打死我们师徒，自己去取经,Yellowbrow tried to slaughter us all and take on the journey in our stead.
Zhu Bajie,过了这些年月，这一点他倒是没变,"That's never changed, even after all these years."
Zhu Bajie,大师兄当年跟老猪一样，被困在金铙里,"Wukong got trapped in the Gold Cymbals then, just as I did."
Zhu Bajie,是亢金龙将自己的角钻进去救他出来,He was saved when Kang-Jin Loong broke the Cymbals with her antler.
Zhu Bajie,如今竟成了黄眉老怪的手下，怪哉,To think that she has sided with Yellowbrow himself. How odd!
Zhu Bajie,莫非是那孽畜又得了什么能迷人心窍的宝贝？,"You don't think that he's gotten his hands on some mind-twisting vessels, do you?"
Zhu Bajie,说到宝贝，黄眉老怪手上最厉害的宝贝当属那后天袋！,"Speaking of which, the most powerful thing Yellowbrow has should be the Seedsack!"
Zhu Bajie,天上的二十八星宿，北方真武大帝手下的龟蛇二将,"The celestial deities above, the Turtle and Snake Generals under Xuanwu…"
Zhu Bajie,还有国师王菩萨派来的小张太子和四大神将,"And the Third Prince with his Four Captains, sent by the Bodhisattva Guoshiwang."
Zhu Bajie,那破袋一张口，没一个逃得脱,"Once that wicked sack opened up, they were all devoured."
Zhu Bajie,大师兄没了法子，正凄惨呢，他师父弥勒就来了,"Just as Wukong was losing his wits, Maitreya himself appeared."
Zhu Bajie,你说巧不巧，偏偏是走投无路的时候，这胖和尚正好现身了,What were the chances? That pot-bellied monk came right as we were all out of options.
Zhu Bajie,主子一到，黄眉自是威风不起来了,"With his master present, Yellowbrow soon met his defeat."
Zhu Bajie,可要我说，他根本没服气，一直记恨着大师兄坏了他的前程,But I don't think he ever truly gave up. He's always had it in for Wukong for wrecking his plans.
Yaoguai 1,哥啊，这么好的差事交了我们，真是大造化,"My friend, we've struck gold with this task, haven't we?"
Yaoguai 2,大个屁！,Gold my ass!
Yaoguai 2,这一路挑担磨肩，骨头都累折了！,My bones are cracking from lugging this load!
